"ID","Nperc","Cperc","campaign","Date","volume"
"6-3",0.01,0.457,5,2013-05-01,5
"6-3",0.01,0.456,6,2013-05-16,5
"6-4",0.01,0.451,1,2013-03-07,20
"6-4",0.011,0.449,2,2013-03-22,20
"6-4",0.014,0.457,3,2013-04-08,20
"6-4",0.016,0.455,4,2013-04-17,20
"6-4",0.019,0.461,5,2013-05-01,20
"6-4",0.02,0.451,6,2013-05-16,20
"6-5",0.01,0.44,1,2013-03-07,10
"6-5",0.011,0.444,2,2013-03-22,10
"6-5",0.011,0.452,3,2013-04-08,10
"6-5",0.012,0.454,4,2013-04-17,10
"6-5",0.013,0.454,5,2013-05-01,10
"6-5",0.013,0.452,6,2013-05-16,10
"6-6",0.017,0.448,1,2013-03-07,15
"6-6",0.014,0.447,2,2013-03-22,15
"6-6",0.01,0.46,3,2013-04-08,15
"6-6",0.011,0.464,4,2013-04-17,15
"6-6",0.012,0.464,5,2013-05-01,15
"6-6",0.012,0.463,6,2013-05-16,15
"6-7",0.013,0.44,1,2013-03-07,25
"6-7",0.011,0.433,2,2013-03-22,25
"6-7",0.013,0.447,3,2013-04-08,25
"6-7",0.014,0.451,4,2013-04-17,25
"6-7",0.018,0.462,5,2013-05-01,25
"6-7",0.017,0.457,6,2013-05-16,25
"6-8",0.028,0.451,1,2013-03-07,1000
"6-8",0.032,0.451,2,2013-03-22,1000
"6-8",0.027,0.458,3,2013-04-08,1000
"6-8",0.02,0.46,4,2013-04-17,1000
"6-8",0.023,0.471,5,2013-05-01,1000
"6-8",0.025,0.456,6,2013-05-16,1000
"7-1",0.015,0.454,1,2013-03-07,15
"7-1",0.013,0.459,2,2013-03-22,15
"7-1",0.01,0.458,3,2013-04-08,15
"7-1",0.009,0.459,4,2013-04-17,15
"7-1",0.01,0.465,5,2013-05-01,15
"7-1",0.01,0.449,6,2013-05-16,15
"7-2",0.03,0.452,1,2013-03-07,1000
"7-2",0.032,0.456,2,2013-03-22,1000
"7-2",0.029,0.463,3,2013-04-08,1000
"7-2",0.028,0.474,4,2013-04-17,1000
"7-2",0.029,0.471,5,2013-05-01,1000
"7-2",0.022,0.466,6,2013-05-16,1000
"7-3",0.009,0.439,1,2013-03-07,25
"7-3",0.011,0.447,2,2013-03-22,25
"7-3",0.025,0.461,3,2013-04-08,25
"7-3",0.017,0.451,4,2013-04-17,25
"7-3",0.017,0.46,5,2013-05-01,25
"7-3",0.016,0.453,6,2013-05-16,25
"7-4",0.01,0.438,1,2013-03-07,10
"7-4",0.018,0.441,2,2013-03-22,10
"7-4",0.017,0.448,3,2013-04-08,10
"7-4",0.017,0.451,4,2013-04-17,10
"7-4",0.017,0.458,5,2013-05-01,10
"7-4",0.017,0.443,6,2013-05-16,10
"7-5",0.009,0.438,1,2013-03-07,20
"7-5",0.012,0.434,2,2013-03-22,20
"7-5",0.015,0.451,3,2013-04-08,20
"7-5",0.019,0.452,4,2013-04-17,20
"7-5",0.017,0.466,5,2013-05-01,20
"7-5",0.014,0.455,6,2013-05-16,20
"7-6",0.009,0.437,1,2013-03-07,5
"7-6",0.01,0.431,2,2013-03-22,5
"7-6",0.008,0.442,3,2013-04-08,5
"7-6",0.01,0.448,4,2013-04-17,5
"7-6",NA,NA,5,2013-05-01,5
"7-6",0.012,0.454,6,2013-05-16,5
"7-8",0.015,0.447,1,2013-03-07,35
"7-8",0.011,0.445,2,2013-03-22,35
"7-8",0.009,0.452,3,2013-04-08,35
"7-8",0.009,0.453,4,2013-04-17,35
"7-8",0.009,0.456,5,2013-05-01,35
"7-8",0.008,0.447,6,2013-05-16,35
